Date,Open,High,Low,Close,Volume
2025-07-01,2800,2850,2780,2840,10000
2025-07-02,2845,2880,2830,2875,12000
2025-07-03,2870,2900,2860,2890,15000
2025-07-04,2895,2920,2880,2910,13000
2025-07-05,2910,2950,2900,2940,16000
2025-07-06,2945,2960,2930,2950,14000
2025-07-07,2950,2980,2940,2975,17000
2025-07-08,2980,3000,2970,2990,18000
2025-07-09,2995,3020,2980,3010,16000
2025-07-10,3010,3030,3000,3020,19000
2025-07-11,3025,3050,3010,3040,20000
2025-07-12,3040,3060,3030,3050,18000
2025-07-13,3055,3080,3040,3070,21000
2025-07-14,3070,3090,3060,3080,19000
2025-07-15,3085,3110,3070,3100,22000
2025-07-16,3100,3120,3090,3110,20000
2025-07-17,3115,3140,3100,3130,23000
2025-07-18,3130,3150,3120,3140,21000
